Step #,Scene,Act / Rasa,Description,Characters,Music,Status
14,Basketball vs Girls' Team,Setup / Intro,"Karan & Arjun play; Naina enters, boys tease Karan ('tere naina...'); he gets distracted — 'Yeh Ladka Hai Deewana.' Arjun feels sidelined.",TBD,TBD,Draft
15,The Fork,Setup / Intro,PratiKool instigates Arjun's jealousy; Kool nudges Karan toward Naina (KKHH sting → Main Hoon Na).,TBD,TBD,Draft
16,Karma's First Shringar Lesson (Video),Shringar (Love),Karma's first Shringar introduction to the AI begins here.,TBD,TBD,Draft
17,Shringar: Karan & Naina,Shringar (Love),Their spark — 'Tumhe Jo Maine Dekha.',TBD,TBD,Draft
18,Kool Pitches a Party to Coach,Setup / Intro,Kool sees a drift in the team and suggests a party to re-motivate them.,TBD,TBD,Draft
19,Karma Introduces Hasya Ras,Hasya (Laughter),"In Heaven (stage): Kool & PratiKool crack bad jokes (a 'don't laugh' challenge) — only Audit Devi & Karma laugh; Maya gives horrible emoticons. Kool to PratiKool: 'AI mein tera influence zyaada lag raha hai.'",TBD,TBD,Draft
20,Hasya: The Qawwali Party,Hasya (Laughter),"Joyful chaos; Kool awards bonus points, PratiKool docks them, for laughs.",TBD,TBD,Draft
21,Songs & Dances on Stage,Hasya (Laughter),[Placeholder — to be expanded with specific numbers.],TBD,TBD,Draft
22,Jealousy Surfaces,Bibhatsa (Disgust),Staged live, continues on screen as the song sequence finishes.,TBD,TBD,Draft
23,Bibhatsa: Arjun Plots Karan's Disqualification,Bibhatsa (Disgust),"Arjun schemes to get Karan disqualified, wants to become sole leader, self-justifies: 'I'm not distracted by girls.'",TBD,TBD,Draft
24,PratiKool's Bad Ideas,Bibhatsa (Disgust),"PratiKool feeds Arjun a list of terrible plans. Arjun notes Karan & co.'s morning cycling ritual: 'now I will teach a lesson there itself.'",TBD,TBD,Draft
25,The Sabotage (Video),Bibhatsa (Disgust),"During 'Hawa Ke Saath Saath,' Arjun rigs an invisible string; Karan falls, badly hurt — the cycle is damaged too, unnoticed. (Karuna music starts.)",TBD,TBD,Draft
26,Karuna: The Accident's Aftermath,Karuna (Sorrow),"Friends rush to Karan, notice Arjun's absence; Kool suspects his guilt. Coach says he must pull Karan from the contract and make Arjun the sole contender if Karan doesn't recover in time.",TBD,TBD,Draft
27,Raudra: Friends Are Furious,Raudra (Anger),"The team is furious. Karan storms out to confront and hurt Arjun (and his cycle) — Durandhar-style rage scene. [To be built.]",TBD,TBD,Draft
28,Karma & Audit Devi's Commentary,Setup / Intro,"They reflect on how negative emotion turns a life — 'Jaisi Karni, Waisi Bharni.' Maya asks whether to proceed; Karma: 'Roll on — it will be a sad day for them.'",TBD,TBD,Draft
29,Coach & Kool Intervene,Raudra (Anger),"They stop Karan from destroying himself and Arjun — rules can't change, but don't let anger destroy you both. Redirect: do it for sportsmanship, if not sponsorship.",TBD,TBD,Draft
30,Veera: Kool Redirects the Anger,Veera (Courage),"(Veer Ras song, background/stage.) Gym/swim/run recovery support; the team reconciles.",TBD,TBD,Draft
31,Arjun's Guilt & Isolation,Veera (Courage),"Arjun watches Karan train, feels guilty and lonely — only the coach still works with him.",TBD,TBD,Draft
32,Race Day,Veera (Courage),"Arjun rides his original gear, Karan an old one; they trade the lead repeatedly until another competitor overtakes. Arjun helps Karan win despite knowing he'll lose the contract — repentance over competition.",TBD,TBD,Draft
33,Coach's Verdict,Veera (Courage),Declares sportsmanship and team spirit the real win over broken cycles; recommends both of them for sponsorship.,TBD,TBD,Draft
34,Karma's Transition to Bhayanak,Setup / Intro,"'There's more to learn — two spectrums, negative and positive — you'll have to go back before humans even evolved to understand it.' Leads into Bhayanak Ras.",TBD,TBD,Draft
35,Bhayanak Ras on Stage,Bhayanaka (Fear),"9 Devis, Kaali, Shiv.",TBD,TBD,Draft
36,Shanti Ras,Shanta (Peace),[Placeholder — not yet detailed.],TBD,TBD,Draft
37,Adbhuta Ras,Adbhuta (Wonder),"Karma (video): humans can choose the Bhayanak side or move toward Shanti. Maya: 'I understand now that being human and managing this emotion itself is the Adbhut Ras.'",TBD,TBD,Draft
38,Finale: Karma and Emote 2.0,Adbhuta (Wonder),"Closing song. Note: these same rasas, unchecked, also have the potential to transform humans toward 'Rakshash' level — the other side of the same coin.",TBD,TBD,Draft
39,ALT — Veera: Condo Sports Day,Veera (Courage),Condo B-team comic sports montage.,TBD,TBD,Alt / Parked Idea
40,ALT — Bhayanaka: Haunted Lift Prank,Bhayanaka (Fear),"Kids scare an elder, spooky-fun garba/dandiya.",TBD,TBD,Alt / Parked Idea
41,ALT — Bhayanaka: Hospital Wait & Kaali Vision,Bhayanaka (Fear),Kaali/Kaal vision during a hospital wait.,TBD,TBD,Alt / Parked Idea
42,ALT — Karuna: Too Much World,Karuna (Sorrow),"News montage, contemporary dance, global sorrow.",TBD,TBD,Alt / Parked Idea
43,ALT — Bibhatsa: Modern Draupadi,Bibhatsa (Disgust),Modernized gossip-shaming story.,TBD,TBD,Alt / Parked Idea
44,ALT — Hasya: Ek Chatur Nar Shayari Contest,Hasya (Laughter),Shayari contest with dancers.,TBD,TBD,Alt / Parked Idea
