Shot #,Timecode,Scene,Characters,Visual Treatment,Costume / Color Note,Tool / Method,Status,Prompt Ref
S4.2,0:57-1:03,Scene 4 — Garden swing,—,"Close-up empty swing seat; silk cushions; scattered petals; warm golden light; vines/flowers framing; blurred garden behind.",Warm gold cushions + cool bokeh,livia-navras-play-scribble.md → S4.2,Draft,S4.2 — Swing seat close-up
S4.3,1:03-1:10,Scene 4 — Garden swing,—,"Wide shot swing as focal point; flowering shrubs; stone path; lanterns/torches; nearby fountain; low mist; stars above.",Full romantic garden composition,livia-navras-play-scribble.md → S4.3,Draft,S4.3 — Wide swing in garden
S5.1,1:10-1:17,Scene 5 — Pond,—,"Indian temple-style lotus pond; mirror-still water; moon reflection; slow ripples from single drop; bioluminescent lotus; carved stone edge.",Sacred stillness; cool reflections + soft lotus glow,livia-navras-play-scribble.md → S5.1,Draft,S5.1 — Lotus pond detail
S5.2,1:17-1:23,Scene 5 — Pond,—,"Fish silhouettes and gentle ripples; optional crane/swan silhouettes; tree/moon reflections; magical particles falling into pond.",Living water; silhouette wildlife only,livia-navras-play-scribble.md → S5.2,Draft,S5.2 — Pond wildlife ripples
S5.3,1:23-1:30,Scene 5 — Pond,—,"Graceful Indian/Mughal stone arch bridge over pond; moonlit carved railings; floral vines; perfect reflection; slow camera cross; garden vista beyond.",Bridge as romantic passage,livia-navras-play-scribble.md → S5.3,Draft,S5.3 — Stone bridge over pond
S5.4,1:30-1:35,Scene 5 — Pond,—,"Pull back from bridge to full pond in garden context; bridge, pavilion shapes, paths, lantern glow; fireflies and magical particles.",Layered wide garden vista,livia-navras-play-scribble.md → S5.4,Draft,S5.4 — Pond wide return
S6.1,1:35-1:42,Scene 6 — Pavilion,—,"Open-air Mughal/Indian domed pavilion; carved columns and jali screens; empty silk cushions; garlands; hanging golden lanterns; moonlit stone.",Warm interior lanterns + cool moon exterior,livia-navras-play-scribble.md → S6.1,Draft,S6.1 — Ornate pavilion
S6.2,1:42-1:50,Scene 6 — Pavilion,—,"Carving close-ups; swaying wind chime/bell; flowers on columns; view outward through jali to layered moonlit garden.",Warm/cool contrast through lattice,livia-navras-play-scribble.md → S6.2,Draft,S6.2 — Pavilion details
S7.1,1:50-1:55,Scene 7 — Flower gardens,—,"Wide flower beds — marigolds, roses, jasmine, hibiscus; moonlit petals; faint bioluminescence; wind movement; stone paths; optional moth silhouettes.",Jewel-tone blooms in moonlight,livia-navras-play-scribble.md → S7.1,Draft,S7.1 — Flower beds wide
S7.2,1:55-1:58,Scene 7 — Flower gardens,—,"Extreme macro petal with dew catching moonlight; magical sparkles; micro breeze movement. Generate 5s; trim to 3s in edit.",Luminous dew macro — trim in post,livia-navras-play-scribble.md → S7.2,Draft,S7.2 — Macro flower dew
S8,1:58-2:00,Scene 8 — Closing sky,—,"Rise from garden through trees and clouds to full golden moon and starry sky; garden glow below; fade to black. Generate 5s; trim to 2s in edit.",Closing ascent — trim in post,livia-navras-play-scribble.md → S8,Draft,S8 — Rise to moonlit sky
